Date,Value,Day,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipitation,day_of_week,Day
26-08-2016,30.32,26,88,78.4,73,75,73,71,96,84.4,61,22,6.8,3,29.9,29.9,29.8,0.42,4,87
27-08-2016,34.381,27,90,78.3,74,75,72.9,71,94,84.3,55,29,7.9,0,29.9,29.8,29.8,0.74,5,88
28-08-2016,36.876,28,87,78.1,75,75,73.1,70,94,85.1,67,23,8.3,3,29.9,29.8,29.8,0,6,89
29-08-2016,32.349,29,84,77.6,75,76,73.1,72,94,86,69,16,8.5,3,29.9,29.8,29.8,0,0,90
30-08-2016,33.066,30,93,82.3,75,76,72.4,70,90,73.5,48,13,7,0,29.9,29.8,29.8,0.1,1,91
31-08-2016,39.477,31,93,84.5,78,76,73.6,70,88,71,54,15,5.9,0,29.8,29.8,29.7,0,2,92
01-09-2016,47.363,1,96,86.2,78,75,73.3,70,88,67.1,46,13,6.3,0,29.8,29.8,29.7,0.01,5,93
02-09-2016,24.097,2,95,84.9,77,75,73.6,70,90,70,51,16,7.4,0,29.9,29.8,29.8,0,1,94
03-09-2016,5.886,3,92,82.3,75,72,70.6,68,87,68.8,48,10,8,6,29.9,29.8,29.8,0,2,95
04-09-2016,5.985,4,91,81.5,74,78,74.2,69,96,79.3,55,12,5.6,0,29.9,29.9,29.8,0,5,96
05-09-2016,43.516,5,89,81.6,76,78,75.6,73,97,82.7,63,13,5.8,0,30,29.9,29.9,0.29,0,97
06-09-2016,39.04,6,92,83.2,75,76,73.8,70,97,75,48,16,7,0,30,30,29.9,0.02,3,98
07-09-2016,37.735,7,93,83.3,74,76,73.8,72,97,74.6,50,9,4.3,0,30,30,29.9,0,5,99
08-09-2016,40.457,8,93,84.3,77,78,75.1,72,96,74.9,52,15,6.5,0,29.9,29.9,29.8,0,1,100
09-09-2016,35.773,9,91,81,76,78,74.7,72,97,81.9,57,23,3.7,0,29.9,29.8,29.8,0,4,101
10-09-2016,34.96,10,88,78.4,75,76,73.3,71,96,84.6,62,18,4.9,0,30,29.9,29.9,0.04,6,102
11-09-2016,45.391,11,90,80.2,72,73,71,70,93,75.4,53,10,4.4,0,30,29.9,29.9,0,2,103
12-09-2016,37.162,12,92,80.3,73,75,73.2,71,96,80.5,53,8,5.5,0,29.9,29.8,29.8,0,4,104
13-09-2016,33.725,13,91,79.9,75,76,73.8,72,96,82.8,53,23,8.2,0,29.9,29.9,29.8,0,1,105
14-09-2016,40.039,14,91,82.9,76,75,72.5,70,91,72.7,50,15,7.8,3,29.9,29.9,29.8,0.1,2,106
15-09-2016,78.2253,15,92,82.7,76,75,73.1,71,94,74.8,52,13,7,0,29.9,29.9,29.8,0,3,107
16-09-2016,42.756,16,90,81.9,76,77,75.5,74,97,81.8,61,13,7,0,29.8,29.8,29.8,0,4,108
17-09-2016,55.155,17,95,84.1,75,77,75.2,73,100,76.5,49,9,3.1,0,29.9,29.8,29.8,0.01,5,109
18-09-2016,57.136,18,95,85,76,78,75.4,71,97,75,46,9,4.1,0,29.9,29.8,29.8,0,6,110
19-09-2016,46.735,19,95,85.7,77,79,75,70,96,72.2,44,8,4.4,0,29.9,29.9,29.8,0,0,111
20-09-2016,47.523,20,96,84.5,76,77,74.7,72,94,74.5,47,14,5.2,0,30,29.9,29.8,0,1,112
21-09-2016,37.714,21,93,82,73,74,70.8,66,94,71.5,41,12,4.6,0,29.9,29.9,29.8,0,2,113
22-09-2016,39.036,22,92,82.2,75,76,72.4,69,94,74.1,47,15,6.7,0,29.9,29.9,29.8,0,3,114
23-09-2016,34.31,23,89,82,76,78,74.5,72,97,78.9,61,17,7.5,0,29.9,29.9,29.8,0,4,115
24-09-2016,41.334,24,91,79.7,76,77,74.9,73,97,85.9,55,18,6.8,0,29.9,29.9,29.8,0,5,116
25-09-2016,32.793,25,89,76.9,73,77,73.4,71,100,89.3,61,36,7,0,29.9,29.9,29.8,0.69,6,117
26-09-2016,31.782,26,85,76.8,73,74,72,69,96,86,65,20,7.2,0,29.9,29.9,29.9,0.53,0,118
27-09-2016,28.17,27,84,76.8,71,72,68.6,66,93,76.8,60,12,7.5,3,29.9,29.9,29.8,0.02,1,119
28-09-2016,32.142,28,88,76.6,69,66,63.1,60,87,65.6,39,8,2.8,0,30,29.9,29.9,0,2,120
29-09-2016,27.216,29,86,73,65,64,59.7,55,93,65.8,39,14,6.7,0,30.1,30,29.9,0,3,121
30-09-2016,29.563,30,81,68.8,58,57,54.4,51,84,63.2,38,9,3.9,0,30.1,30,29.9,0,4,122
01-10-2016,42.203,1,81,71.1,61,64,59.4,57,90,68.7,45,8,3.3,0,30,29.9,29.9,0,6,123
02-10-2016,23.944,2,86,74,65,64,60.6,58,90,66,40,8,4.4,0,29.9,29.9,29.8,0,2,124
03-10-2016,30.736,3,86,73.6,63,66,62.5,60,93,71.1,41,13,5.8,0,29.9,29.8,29.7,0,3,125
04-10-2016,31.635,4,89,77,66,73,68.9,64,93,77.6,53,18,8,0,29.7,29.7,29.7,0,6,126
05-10-2016,35.233,5,91,80.3,73,76,73.5,71,100,81.3,57,17,7.4,0,29.8,29.8,29.7,0,1,127
06-10-2016,33.993,6,89,80.2,74,75,73.2,69,97,80.7,55,16,8.1,0,29.8,29.8,29.8,0,4,128
07-10-2016,37.532,7,90,79.5,71,73,68.4,64,97,72.1,42,15,7.3,0,29.9,29.9,29.8,0.01,6,129
08-10-2016,27.436,8,88,76.2,67,66,62.8,60,87,65.4,40,15,9.3,6,30.1,30,29.9,0,2,130
09-10-2016,23.768,9,82,70.3,60,60,48.9,43,71,49.3,25,15,7.9,3,30.1,30.1,30,0,5,131
10-10-2016,20.678,10,84,69.2,55,62,52.6,48,84,58.9,31,10,3.5,0,30.1,30,30,0,0,132
11-10-2016,27.457,11,84,73.3,65,73,67.9,62,93,83.6,65,22,7.6,0,30,30,29.9,0,3,133
12-10-2016,34.022,12,88,77.8,69,73,70.6,68,97,79.9,55,17,8,0,30,29.9,29.9,0.11,5,134
13-10-2016,36.885,13,89,78.2,70,73,69.4,65,100,77.2,48,15,4.3,0,30,30,29.9,0,3,135
14-10-2016,34.797,14,87,76.2,69,72,68.6,66,96,78.5,57,13,5.6,0,30,30,29.9,0,4,136
15-10-2016,34.404,15,89,78,68,72,69.7,67,97,77.6,48,16,7,0,30,29.9,29.9,0.02,5,137
16-10-2016,35.26,16,91,78.5,69,75,71.3,67,100,80.5,45,14,5.8,0,29.9,29.9,29.8,0,6,138
17-10-2016,37.709,17,90,80.2,71,74,70.8,68,96,75.4,48,14,6.7,0,29.8,29.8,29.7,0,0,139
18-10-2016,40.328,18,92,80.9,70,74,71,66,100,74.7,42,15,6.5,0,29.8,29.8,29.7,0,1,140
19-10-2016,34.486,19,89,79.2,72,76,72.3,70,100,81,55,16,6.5,0,29.9,29.8,29.8,0,2,141
20-10-2016,32.367,20,86,75.4,68,74,67.6,51,97,78.4,55,18,7.7,0,30,29.9,29.8,0,3,142
21-10-2016,16.286,21,76,65.5,55,50,47.7,44,77,54.4,33,16,9.5,0,30.1,30.1,30,0,4,143
22-10-2016,14.585,22,77,61.8,49,51,46.3,41,90,61.7,29,9,4.6,0,30.1,30.1,30,0,5,144
23-10-2016,17.701,23,80,66.2,52,61,55.2,48,89,69.4,50,13,6,0,30.1,30.1,30.1,0,6,145
24-10-2016,23.153,24,84,70.8,60,64,61.3,59,97,75.1,44,9,5,0,30.2,30.1,30.1,0,0,146
25-10-2016,21.901,25,82,70.1,59,67,62.9,58,100,80.3,47,12,5.2,0,30.1,30.1,30,0,1,147
26-10-2016,28.46,26,84,71.4,60,66,60.6,54,97,72.7,38,12,4.1,0,30.1,30,30,0,2,148
27-10-2016,27.974,27,84,70.3,61,64,60.3,56,100,74.4,38,13,4,0,30.1,30.1,30,0,3,149
28-10-2016,8.609,28,87,72.5,62,67,61.5,57,97,72.6,37,14,4.6,0,30.1,30.1,30,0,4,150
29-10-2016,14.34,29,86,72.8,64,70,64.8,61,97,78.6,49,15,6.3,0,30.1,30,30,0,5,151
30-10-2016,28.881,30,87,69.9,62,69,64,56,100,84.8,37,9,4.5,0,30.1,30,30,0,6,152
31-10-2016,21.447,31,84,69.4,58,70,63.8,58,100,84.6,49,14,6,0,30,29.9,29.9,0,0,153
01-11-2016,21.535,1,82,74.6,66,74,69.4,66,100,84.5,65,17,7.4,0,29.9,29.9,29.9,0,0,154
02-11-2016,27.476,2,85,75.2,68,73,69.9,67,100,84.7,59,15,7.4,0,30,30,29.9,0.05,3,155
03-11-2016,32.599,3,86,75.4,69,72,69.6,67,100,83.5,55,10,5.5,0,30.1,30.1,30,0,4,156
04-11-2016,31.685,4,86,75.6,70,70,68.1,63,97,79.3,46,8,4.7,0,30.1,30.1,30,0,0,157
05-11-2016,30.718,5,80,72.6,67,69,57.7,52,87,61.2,38,12,6.4,0,30.1,30.1,30,0,2,158
06-11-2016,19.498,6,79,70.7,63,68,62.8,54,96,76.5,59,15,8.4,3,30.1,30,29.9,0,5,159
07-11-2016,22.743,7,77,69.1,64,67,64.8,62,97,86.5,64,14,9,6,30,30,29.9,1.53,0,160
08-11-2016,17.995,8,72,66.9,63,65,63,62,100,87.4,73,12,7.4,5,30.1,30,30,0,3,161
09-11-2016,14.896,9,76,68.3,61,63,61.1,57,90,78.5,58,14,9.5,3,30.1,30.1,30,0,6,162
10-11-2016,13.386,10,72,63.8,55,57,49.7,44,90,62.6,39,10,5.9,0,30.2,30.1,30.1,0,1,163
11-11-2016,14.389,11,74,64.3,58,54,50.5,43,81,63.3,33,12,4.4,0,30.1,30.1,30,0,4,164
12-11-2016,14.982,12,79,67.8,58,58,55.8,54,90,67.8,44,12,5.8,0,30.1,30.1,30,0,6,165
13-11-2016,11.448,13,68,60.6,53,51,47.8,45,83,63.7,45,9,5.8,0,30.2,30.1,30,0,6,166
14-11-2016,17.423,14,79,63.8,51,61,54.8,48,93,74.5,47,8,3.4,0,30,30,29.9,0,0,167
15-11-2016,17.152,15,83,68,57,62,54.8,44,93,68,25,10,4.7,0,30,29.9,29.9,0,1,168
16-11-2016,16.904,16,83,67,53,61,54.3,48,93,68.3,29,14,4.6,0,29.9,29.9,29.8,0,2,169
17-11-2016,26.7993,17,82,70.4,59,67,62.2,58,100,78.2,49,18,7.5,0,29.9,29.8,29.8,0,3,170
18-11-2016,14.086,18,82,69.1,56,69,58.8,35,96,71,44,23,10.4,0,30.3,30,29.8,0,4,171
19-11-2016,9.718,19,64,53.8,45,36,31.6,28,61,45,26,20,11.8,0,30.4,30.3,30.3,0.04,5,172
20-11-2016,11.783,20,65,51.2,37,44,33.7,25,82,55.7,23,10,4.8,0,30.3,30.2,30.1,0,6,173
21-11-2016,12.107,21,75,59.3,43,58,50.9,42,100,76.7,44,17,6.5,0,30.1,30,29.9,0,0,174
22-11-2016,15.368,22,81,70.3,55,65,61.9,54,100,76.3,54,20,9.4,0,29.9,29.9,29.8,0,1,175
23-11-2016,15.897,23,74,66.1,52,68,56.5,47,93,73,43,17,8.3,0,30.1,30,29.9,0,2,176
24-11-2016,16.328,24,74,60.3,50,55,51.5,47,93,75.3,46,10,3.7,0,30.1,30.1,30,0.31,3,177
25-11-2016,13.341,25,75,64.1,57,59,57,55,96,79,51,9,4.3,0,30.2,30.2,30.1,0,4,178
26-11-2016,12.178,26,70,61.5,54,56,53.2,51,93,76.1,54,10,5.5,0,30.3,30.2,30.1,0.01,5,179
27-11-2016,16.403,27,72,62.8,50,64,55.3,48,93,77.4,55,21,11.5,6,30.1,29.9,29.7,0,6,180
28-11-2016,20.337,28,82,72.3,57,70,64.1,54,93,77.2,46,21,9,0,29.6,29.5,29.4,0.04,0,181
29-11-2016,24.531,29,84,70.6,55,71,64.8,53,100,82.9,58,14,4.9,0,29.6,29.5,29.5,0.01,1,182
30-11-2016,14.331,30,69,60,45,55,36.8,29,68,44.5,23,17,8.9,0,30,29.9,29.6,0,2,183
01-12-2016,12.981,1,65,53,38,42,35,27,83,55.1,25,13,5.6,0,30.1,30,29.9,0,1,184
02-12-2016,11.611,2,65,55.6,46,52,45.8,41,90,71.2,42,18,11.4,0,30,30,29.9,0,4,185
03-12-2016,13.281,3,55,52.6,50,52,50.2,47,96,91.6,77,20,12.3,6,29.9,29.8,29.7,0.54,5,186
04-12-2016,20.073,4,53,51.9,50,52,50,49,100,93.2,89,15,10.3,0,29.9,28.8,0,0,1,187
05-12-2016,14.58,5,54,51.7,50,53,49.9,48,100,93.7,89,16,7.7,0,29.8,29.7,29.6,1.1,3,188
06-12-2016,10.247,6,69,55.7,48,53,50.1,46,100,83.1,51,14,5.3,0,29.9,29.8,29.7,0.44,6,189
07-12-2016,10.407,7,57,52.6,48,54,49.7,45,96,89.8,83,10,6.1,0,30.1,30,29.9,0,1,190
08-12-2016,9.927,8,56,47.6,40,54,40.2,29,93,76.4,59,26,18.6,10,30.5,30.3,30.1,0.28,4,191
09-12-2016,12.066,9,50,43.4,38,30,25.7,22,63,50.9,33,18,9.6,3,30.5,30.4,30.4,0,0,192
10-12-2016,11.821,10,56,47,36,41,32.5,28,79,58.3,41,14,8.2,3,30.4,30.3,30.1,0,2,193
11-12-2016,10.974,11,75,67.3,53,67,61.2,43,87,80.8,69,15,8.4,3,30.1,29.9,29.8,0,5,194
12-12-2016,8.007,12,70,67.4,65,66,64.3,62,97,90,81,6,2.2,0,29.9,29.9,29.8,0.08,0,195
13-12-2016,11.024,13,74,67.9,63,67,63.7,58,97,86.5,73,18,5.2,0,29.9,29.9,29.8,0,1,196
14-12-2016,9.839,14,63,60.3,57,59,54.7,48,90,82,72,13,6.9,0,30.1,30,29.9,0,2,197
15-12-2016,10.418,15,58,50.6,44,45,37.7,35,74,62.2,44,15,9.8,3,30.3,30.2,30.1,0,3,198
16-12-2016,11.513,16,74,62.2,46,71,57.5,39,93,84.6,74,10,7.6,0,30.1,29.8,29.7,0,4,199
17-12-2016,12.054,17,81,73.9,46,71,67.4,41,91,80.6,65,25,11.5,3,29.9,29.7,29.6,0.11,5,200
18-12-2016,14.807,18,43,38.1,33,35,22,18,74,52.9,40,26,20,14,30.4,30.2,30,0,6,201
19-12-2016,14.291,19,49,39,30,20,16.5,14,59,42.4,25,17,11,3,30.5,30.5,30.4,0,0,202
20-12-2016,12.721,20,58,44.9,35,35,24.2,19,68,46.8,22,9,3.8,0,30.4,30.3,30.2,0,1,203
21-12-2016,10.512,21,72,61.7,45,59,45.9,27,76,57,39,12,5.8,0,30.2,30.1,30,0,2,204
22-12-2016,12.013,22,73,66.2,61,63,57.7,53,96,75.5,49,8,4.7,0,30.1,30.1,30.1,0,3,205
23-12-2016,8.368,23,77,68.6,63,69,65.3,62,100,89.7,69,13,8.4,6,30.1,30,29.9,0.05,4,206
24-12-2016,5.925,24,80,71.4,68,68,67.1,65,96,86.7,60,17,10.2,3,30,30,29.9,0.04,5,207
25-12-2016,5.948,25,79,73.4,69,70,68.2,65,96,84.3,64,22,14.7,9,29.9,29.9,29.9,0,6,208
26-12-2016,5.973,26,82,75.2,72,71,69.3,65,93,82.6,56,15,10.2,0,30.1,30,29.9,0.01,0,209
27-12-2016,6.149,27,81,72.9,67,70,68.3,65,100,86.3,58,9,2.9,0,30.1,30.1,30,0,1,210
28-12-2016,5.95,28,81,73.7,70,70,67.7,66,93,82.2,60,13,5.4,0,30,30,29.9,0.02,2,211
29-12-2016,5.909,29,72,64.3,52,68,44.8,24,90,53.6,25,25,13.4,7,30.4,30.2,29.9,0,3,212
30-12-2016,13.559,30,55,51.5,49,40,28.3,22,66,41.9,29,9,6.8,0,30.4,30.2,30,0,4,213
31-12-2016,15.304,31,68,62.1,52,65,59.2,42,97,90.2,69,9,2.4,0,29.9,29.8,29.7,0,5,214
01-01-2017,12.2,1,74,67.5,64,66,63.8,62,97,88.1,73,13,2.7,0,29.8,29.7,29.7,0.3,6,215
02-01-2017,11.026,2,74,66.9,53,70,62.2,51,97,86.1,46,28,8.3,0,29.8,29.7,29.6,0.07,2,216
03-01-2017,10.225,3,75,61.9,49,52,46.3,40,93,61.1,30,20,8.6,0,30,29.9,29.8,1.22,2,217
04-01-2017,10.312,4,52,46.5,42,42,38.7,35,93,74.7,63,17,8.1,0,30.1,30,29.9,0,5,218
05-01-2017,10.28,5,56,50.4,44,51,45.8,38,90,84.1,77,20,7,0,29.9,29.8,29.8,0,0,219
06-01-2017,13.764,6,44,35.1,26,38,28.7,18,89,77.8,66,23,15.8,9,30.4,30.1,29.9,0,3,220
07-01-2017,18.608,7,43,29.9,21,19,15.2,12,75,57.1,30,18,10.6,0,30.6,30.5,30.4,0.27,5,221
08-01-2017,15.666,8,49,37.3,25,35,23.7,10,79,60.8,27,13,5.8,0,30.6,30.5,30.4,0,1,222
09-01-2017,9.881,9,65,57.3,43,56,49.8,36,86,76.3,65,18,11,6,30.4,30.2,30.1,0,4,223
